reference_riot_id,source_player_name,source_tag,matches_analyzed,current_rank_mode,match_rank_mode,avg_team_rank_mode,avg_team_rank_mean_value,avg_team_rank_nearest,avg_team_rank_group,wins,losses,draws,winrate,total_kills,total_deaths,total_assists,total_rounds,recent_kd,recent_kda,recent_acs,recent_tracker_score,recent_adr,recent_dda,recent_hs,recent_kast,recent_first_kills,recent_first_deaths,recent_entry_success,recent_entry_activity,recent_multi_kill_rate,acs_std,trs_std,main_agent,main_map
El minideus#6996,El minideus,6996,20,Diamond 3,Diamond 3,Diamond 1,16.5,Diamond 1,Diamond,8,12,0,40.0,345,330,66,436,1.045,1.245,226.1,555.65,135.21,18.76,30.4,63.4,58,48,54.72,24.31,109.4,51.06,205.67,Jett,Haven
SoKo9#LAS,SoKo9,LAS,20,Diamond 2,Diamond 2,Diamond 2,16.55,Diamond 2,Diamond,11,9,0,55.0,314,329,93,433,0.954,1.237,213.15,568.75,139.05,-6.15,12.9,74.0,45,47,48.91,21.25,5.08,53.51,200.99,Raze,Lotus
Lucayro#1972,Lucayro,1972,20,Diamond 3,Diamond 3,Diamond 3,16.65,Diamond 2,Diamond,7,13,0,35.0,320,355,105,458,0.901,1.197,204.25,500.5,124.5,4.91,25.8,63.5,45,61,42.45,23.14,177.73,55.76,220.91,Jett,Haven
Athexo#0110,Athexo,0110,20,Diamond 3,Diamond 3,Diamond 3,17.35,Diamond 2,Diamond,9,10,1,45.0,320,355,107,443,0.901,1.203,212.6,516.6,142.25,-11.7,22.4,68.85,39,64,37.86,23.25,4.97,41.0,185.17,Clove,Lotus
LGslayer#4348,LGslayer,4348,20,Ascendant 2,Ascendant 2,Diamond 3,17.4,Diamond 2,Diamond,12,8,0,60.0,342,340,75,421,1.006,1.226,229.7,550.55,143.78,7.46,41.05,65.55,63,45,58.33,25.65,136.58,68.56,267.41,Chamber,Lotus
Laze#MANU,Laze,MANU,20,Ascendant 2,Ascendant 2,Diamond 3,17.5,Diamond 2,Diamond,12,8,0,60.0,306,306,106,448,1.0,1.346,190.45,548.05,123.7,10.39,29.1,69.9,20,29,40.82,10.94,164.29,53.15,209.82,Killjoy,Haven
爱 LolaPistola#Lele,爱 LolaPistola,Lele,20,Diamond 3,Diamond 3,Diamond 3,17.55,Diamond 3,Diamond,9,10,1,45.0,316,323,120,439,0.978,1.35,211.4,586.15,128.39,28.11,37.65,61.8,32,33,49.23,14.81,181.78,44.73,168.84,Sova,Ascent
Modern Mullet#Pato,Modern Mullet,Pato,20,Ascendant 2,Ascendant 2,Diamond 3,17.6,Diamond 3,Diamond,9,10,1,45.0,354,331,92,441,1.069,1.347,239.55,616.25,142.69,33.76,28.0,64.25,61,60,50.41,27.44,192.29,72.71,215.75,Chamber,Ascent
Lelouch#HELL,Lelouch,HELL,20,Ascendant 3,Ascendant 3,Diamond 2,17.8,Diamond 3,Diamond,10,10,0,50.0,314,281,151,413,1.117,1.655,221.7,621.35,136.73,35.05,27.8,66.2,44,44,50.0,21.31,88.86,39.19,184.17,Killjoy,Pearl
veno#2121,veno,2121,20,Immortal 3,Immortal 3,Diamond 1,17.8,Diamond 3,Diamond,16,4,0,80.0,397,243,89,409,1.634,2.0,255.4,751.95,159.38,64.94,33.8,72.25,51,24,68.0,18.34,250.12,89.14,212.86,Jett,Split
